id,ACS11_5yr_B01003001
271230301001,858
271230301002,1381
271230301003,842
271230301004,820
271230301005,1132
271230302011,1218
271230302012,1559
271230302013,1113
271230302014,1545
271230302021,2205
271230303001,1016
271230303002,957
271230303003,819
271230303004,742
271230303005,614
271230303006,799
271230303007,1152
271230304001,2159
271230304002,2913
271230304003,2048
271230305001,2263
271230305002,1983
271230305003,703
271230305004,995
271230306011,3397
271230306012,2848
271230306021,842
271230306022,699
271230306023,694
271230306024,1932
271230307021,1054
271230307022,1321
271230307023,773
271230307024,845
271230307025,1368
271230307031,829
271230307032,1296
271230307033,2039
271230307041,913
271230307042,804
271230307043,2716
271230308001,1482
271230308002,1450
271230308003,918
271230308004,1403
271230309001,990
271230309002,1165
271230309003,2287
271230310001,863
271230310002,1178
271230310003,1091
271230310004,442
271230310005,815
271230311001,1846
271230311002,808
271230311003,1288
271230312001,1450
271230312002,573
271230312003,910
271230313001,1088
271230313002,1341
271230314001,985
271230314002,1940
271230315001,509
271230315002,1388
271230315003,1142
271230316001,1271
271230316002,1082
271230316003,597
271230316004,1247
271230317011,1963
271230317012,1144
271230317021,1853
271230317022,1321
271230317023,1488
271230317024,1857
271230318011,1745
271230318012,1548
271230318013,654
271230318014,1196
271230318021,1108
271230318022,950
271230318023,1201
271230318024,1020
271230319001,1202
271230319002,698
271230320001,878
271230320002,1503
271230320003,905
271230321001,1366
271230321002,2019
271230322001,608
271230322002,891
271230322003,975
271230323001,1133
271230323002,957
271230323003,738
271230323004,662
271230324001,1334
271230324002,1547
271230325001,987
271230325002,1057
271230325003,1266
271230325004,522
271230326001,1859
271230326002,1126
271230326003,759
271230327001,1082
271230327002,1687
271230330001,588
271230330002,1341
271230331001,739
271230331002,874
271230332001,1377
271230332002,1778
271230333001,1738
271230333002,808
271230333003,756
271230334001,1347
271230334002,1018
271230334003,694
271230335001,1353
271230335002,851
271230335003,1632
271230336001,1805
271230337001,1372
271230338001,1390
271230338002,574
271230339001,1560
271230340001,949
271230340002,743
271230342011,2296
271230342021,1719
271230342022,1066
271230342023,2735
271230344001,681
271230344002,1480
271230345001,1136
271230345002,757
271230345003,2047
271230346011,1760
271230346012,1915
271230346013,1798
271230346021,984
271230346022,1846
271230346023,1693
271230347011,1401
271230347012,1945
271230347013,1865
271230347021,1948
271230347022,1415
271230347023,794
271230349001,1238
271230349002,855
271230349003,1428
271230350001,1370
271230350002,712
271230350003,562
271230351001,2725
271230351002,888
271230352001,1342
271230352002,1077
271230352003,967
271230353001,1079
271230353002,1006
271230353003,754
271230353004,989
271230355001,1311
271230355002,971
271230357001,1277
271230357002,1221
271230358001,1145
271230358002,691
271230358003,962
271230359001,651
271230360001,557
271230360002,1856
271230361001,1601
271230363001,599
271230363002,758
271230363003,750
271230363004,1448
271230364001,1190
271230364002,1236
271230364003,480
271230364004,917
271230365001,1012
271230365002,1142
271230365003,597
271230365004,1037
271230366001,1397
271230366002,1086
271230366003,676
271230366004,928
271230367001,824
271230367002,580
271230367003,1665
271230367004,1509
271230368001,1306
271230368002,1325
271230369001,1283
271230369002,670
271230370001,676
271230370002,720
271230370003,683
271230370004,669
271230371001,1335
271230371002,1088
271230371003,958
271230371004,539
271230371005,943
271230372001,1940
271230372002,848
271230372003,1086
271230372004,1483
271230372005,804
271230374021,1020
271230374022,1182
271230374023,1905
271230374031,492
271230374032,944
271230374033,1634
271230374034,1906
271230374035,1699
271230375001,1071
271230375002,1041
271230375003,719
271230375004,698
271230375005,1034
271230375006,701
271230376011,1999
271230376012,992
271230376013,1181
271230376021,1385
271230376022,749
271230376023,1753
271230376024,1507
271230401001,2392
271230401002,701
271230401003,1169
271230401004,1300
271230401005,1571
271230402001,825
271230402002,1191
271230403011,1123
271230403012,924
271230403021,1412
271230403022,1426
271230403023,2474
271230404011,877
271230404012,1070
271230404013,1708
271230404021,2883
271230404022,2428
271230405021,850
271230405022,1122
271230405023,957
271230405031,2311
271230405032,1430
271230405041,2190
271230405042,1755
271230406011,1268
271230406012,1196
271230406013,3252
271230406031,1945
271230406032,2137
271230406033,1530
271230406041,1129
271230406042,1235
271230406043,1550
271230406044,1616
271230406045,2146
271230407031,2421
271230407032,3259
271230407033,1654
271230407041,525
271230407042,2728
271230407043,2183
271230407051,2308
271230407052,1939
271230407061,814
271230407062,1482
271230407063,2687
271230407071,1872
271230407072,1777
271230407073,783
271230408011,670
271230408012,2956
271230408021,1846
271230408031,1165
271230408032,987
271230408033,1075
271230408034,1551
271230409011,1160
271230409012,1168
271230409021,2025
271230409022,2063
271230410011,1431
271230410012,2008
271230410021,1808
271230410022,1451
271230411031,2119
271230411032,1251
271230411041,1754
271230411042,1245
271230411051,2552
271230411052,1204
271230411053,1780
271230411061,2235
271230411062,1281
271230411071,2516
271230411072,806
271230411073,1070
271230411074,1630
271230412001,1582
271230412002,1298
271230412003,1487
271230413011,1902
271230413012,1164
271230413013,744
271230413021,2165
271230413022,2019
271230414001,1532
271230414002,1211
271230414003,2031
271230414004,1416
271230415001,1919
271230415002,1433
271230415003,1465
271230416011,2031
271230416012,2267
271230416013,1825
271230416021,1644
271230416022,2182
271230417001,1092
271230417002,774
271230417003,1066
271230418001,760
271230418002,860
271230418003,1559
271230418004,563
271230419001,808
271230419002,1443
271230419003,1249
271230420011,1301
271230420012,759
271230420021,1228
271230420022,1273
271230421011,2674
271230421012,1327
271230421013,1385
271230421014,457
271230421021,2968
271230421022,1492
271230422011,1477
271230422021,1427
271230422022,3064
271230422023,1070
271230423011,1149
271230423012,1800
271230423021,1509
271230423022,733
271230423023,894
271230423024,911
271230423025,887
271230424011,2388
271230424012,4006
271230424021,1992
271230424022,1238
271230424023,1677
271230424024,1268
271230425011,730
271230425012,1450
271230425013,1884
271230425014,1390
271230425031,2924
271230425032,333
271230425041,1249
271230425042,2695
271230426011,1746
271230426012,1705
271230426013,1467
271230426021,888
271230426022,636
271230426023,842
271230427001,1827
271230427002,2212
271230427003,918
271230428001,538
271230428002,1879
271230429001,1133
271230429002,609
271230429003,989
271230429004,1168
271230430001,1431
271230430002,1324
271230430003,1233
271230430004,521
271230430005,1014
271230430006,815
271239800001,0
